,Value,Feature
0,1826243.0028678179,osv
1,1278770.1620681286,make
2,544886.1964331865,dvctype
3,442064.9541028738,model
4,440438.78307688236,h
5,433353.2937951088,lan
6,368202.9977799654,apptype
7,330200.5091212988,w
8,275631.0512729883,mediashowid
9,260152.60874164104,pkgname
10,221372.28897869587,adunitshowid
11,169025.044323802,ver
12,128832.59879589081,macmd5
13,106668.69309484959,reqrealip
14,105488.00337946415,adidmd5
15,73680.88225519657,ppi
16,47262.94221639633,nginxtime
17,47193.508170843124,ip
18,42132.80470633507,carrier
19,35861.34121131897,orientation
20,33004.499326348305,city
21,31224.62256848812,openudidmd5
22,30551.282551646233,imeimd5
23,15343.93847310543,os
24,9190.047900915146,ntt
25,3180.3161603212357,province
26,132.92446875572205,idfamd5
